id	question	answer
191	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
192	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
193	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
194	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
195	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
196	 I am having PCOS, and trying to conceive for eight months. What is the treatment?	Hello. The fact that you are getting positive OPKs each cycle indicates that you have an anovulatory cycle or in simple terms that you are ovulating regularly. PCOD (polycystic ovarian syndrome) cannot be diagnosed alone with just small cysts in ovaries, rather one should have around 10 to 12 multiple small subcenterimetric follicles lining the periphery of the ovary during midcycle scan, one should have featyres of clinical hyperandrogenism like acne, hirsutism (excessive facial and body hair), acanthosis and most importantly oligomenorrhoea or irregular menses. Testosterone alone does not justify the diagnosis. However, if o e needs to be sure, then AMH (ante Mullerian hormone) test can be done, which is more than four indicates PCOD. As mentioned that you are on thyroid medications, I believe your TSH levels are less than five. Please share your ultrasound and hormonal profile reports for review. Now, it would also be essential to check for your partner's semen analysis for quality and quantity of sperms. I am not sure if you have any kids before or not as you have not mentioned, but if you do not yet, then semen analysis of your partner would be mandatory, as your reports are relatively normal. Progesterone deficiency can be treated, and even Clomid can be contemplated only of the male infertility factor has been ruled out first.
197	 Are tonsil stones, sore throat, and swollen gums symptoms of oral or throat cancer?	Hello. A recurrent sore throat can occur in a number of pathologies. Most often it is as a result of some local pathology like Rhinosinusitis, nasopharyngitis, tonsillitis, GERD (gastroesophageal reflux disease), LPR (laryngopharyngeal reflux). Rather than relapsing and recurring course malignancies tend to have a progressive course. Further age is a crucial factor. Younger people usually do not have malignancies. Your doctor must have checked your throat, and he would for sure have picked something if there was any such thing. GERD and LPR are mainly known to cause recurrent sore throat. Malignancy is the last thing one would suspect at your age.
198	 What are the chances of developing a heart attack in a GAD patient?	Hello. A heart attack usually occurs in those with risk factors for ischemic heart disease such as high BP, high sugar, high cholesterol, family history of a heart attack in young age, etc. Your tests are normal thats good. To estimate the lifetime risk of development of atherosclerotic diseases such as stroke and heart attack, have a fasting lipid profile done and send to me.
199	 How to get rid of the rashes which exist even after medications?	Hello. I understand your concern. I would have appreciated a bit clearer pictures with good light (attachment removed to protect patient identity). The distribution and morphology point towards a superficial fungal infection, which has been modified by topical steroids use? Has it been itchy at any point, any redness? Kindly consult your doctor to discuss the suggestion and take the treatment with consent. 1. Capsule Itraconazole 100 mg twice a day. 2. Tablet Levocetirizine 5 mg once at night. 3. Terbinafine cream apply twice a day. Do this for a week.
200	 Will sharing water bottle cause transmission of genital herpes?	Hello. The sharing of water bottle is not known to spread herpes. Genital herpes spread through sexual route. The viral infection also can cause sore throat like influenza infection. It will give streptococcus negative test.
201	 What should I do for my dizzy feeling?	Hi. For further information consult an internal medicine physician online -->
202	 I slept for long hours after taking Zyprexa. Is it normal?	Hello. I can understand your problem. You are on high dose of Paroxetine and are also taking Milnacipran, Clonazepam and if even with these medicines the symptoms are persisting, then there is no harm in adding a low dose antipsychotic drug like Olanzapine. Olanzapine in low dose has great efficacy in depressive symptoms, anxiety disorders and in resistant depression symptoms. The drug is associated with excessive sedation and this is the reason you slept for very long duration after taking this drug. In that case one option is to reduce the dose of the drug to 2.5 mg and give this a try. This should help you without causing unnecessary sedation. But, I am not sure if the drug will help much in anxiety if used in SOS basis. The drug should be used regularly after dinner and Clonazepam dose can be skipped which can be kept for use on SOS basis. You can have a talk with your psychiatrist for this.
203	 I had LASIK done. My vision is all right, but I feel burning sensation in my eyes.	Hi. LASIK when it is done, corneal nerves will be cut. These corneal nerves take several months to regenerate. This can lead to continuous dryness and irritation in the eyes. Eyes also become hypersensitive. Systane ultra is artificial tear eye drops which is a substitute given for this dryness. But, the burning sensation in the corners can be due to an allergic reaction. L-Pred may help that. Please avoid rubbing your eyes in case of irritation, as it may take a long time for healing the corneal flap; they create in LASIK. Sometimes, eye drops may themselves can cause an allergic reaction to your eye and can cause irritation. You can use different company drops of same content medicine to avoid this problem. Try Levocetirizine tablets. You can a send a picture of your eyes for a detailed evaluation.
204	 Please help with my issues of numbness and vitamin deficiency.	Hi. Your problem still could be due to a nerve problem, even though your NCV test is normal (nerve conduction velocity). Also, you might be having calcium deficiency, which is very common associated with vitamin D deficiency. I suggest you calcium supplements like tablet Shelcal HD daily once for three months. Apart from vitamin D and herpes medication, have you taken any medicines for your problem? Kindly let me know that. If not done, then kindly get serum vitamin B12 levels tested and revert back with the report. Revert back with the reports to an internal medicine physician online -->
205	 Does ventricular ectopic beats lead to cardiac arrest?	Hello. It is unusual for ventricular ectopics alone to cause cardiac arrest. Still, it depends on various factors like cause of ectopics, the morphology of ectopics, frequency of ectopics LV function on Echo. What symptoms do you have? Please provide your ECG and Echocardiography report. You have uploaded your photo as an attachment (attachment removed to protect patient identity).
206	 My throat hurts after I smoked for the first time. Why?	Hello, Welcome to iclinic.com. For further queries consult an ENT otolaryngologist online -->
207	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
208	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
209	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
210	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
211	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
212	 Got chickenpox during pregnancy. What shall I do now?	Hi. Really this is a confusing state, but this does not mean you have to abort the fetus right now. When mother get infected with chickenpox, fetus carries a risk. But the risk is only 2% and in those cases the fetus might develop rarely some form of abnormality. Thus, straightaway recommendation of termination is not always a choice. Definitely there is no direct answer and it is upto you what to do. If you want to have the risk of 2%, which is very minimal and often equal to an incidence of congenital anomalies in low risk pregnancy, definitely you can continue it. In that case, just go for an anomaly scan from a very good center at the 18th to 19th week to confirm about the integrity of the fetus. For further information consult an obstetrician and gynaecologist online -->
213	 What is the harm of stopping Veltam plus in a person with BPH?	Hello. I would suggest you continue medicines as at present his flow (which is good) and postvoid (which is less, it should be less only) are because of medicines. I think if he stops the medicines then his urinary symptoms may get worse or postvoid may also increase. There is no harm in taking medicines. Veltam plus (Tamsulosin and Dutasteride) may cause postural hypotension. If he is suffering from severe postural hypotension then he can stop Veltam plus. So harms of stopping are: His urinary symptoms may worsen. His postvoid may increase. He may develop UTI (urinary tract infection). Regarding frequency which is every two hours, I think at 74 years it is fine. Just continue as it is. Because apart from prostate there are many age-related changes in the bladder which cause these symptoms and which are inevitable and irreversible. Until and unless very bad frequency like every half an hour then only intervene. Make some lifestyle changes like drink less water at night before bed. Avoid or reduce drinks which cause diuresis like coffee and tea. For more information consult a urologist online -->
214	 I feel as if the skin over my belly button is firm. Is it hernia?	Hello. For further queries consult a family physician online -->
215	 I have a pulsating feeling on the left side of my stomach. Will this go away by itself?	Hello. Regards. For more information consult an internal medicine physician online -->
216	 Why do I feel swollen feet and numbness when they are not so?	Hi. Revert back after a month to an orthopaedician and traumatologist online -->
217	 Though the cholesterol is normal, is it necessary to take Ecosprin AV?	Hi. I have noted all details of your father. Revert back with the reports to a cardiologist online -->
218	 If my periods are delayed due to pregnancy, can Medroxyprogesterone cause abortion?	Hi. How are you doing? You can definitely take either of the medicines, they both are the same. They are both Medroxyprogesterone acetate, and it is the same hormone which is released from your ovaries in the second half of periods after ovulation. In PCOD (polycystic ovary disease), as you are not ovulating, this hormone will be deficient. So, taking the pill meprate will cause bleeding, only if you are not pregnant. If there is pregnancy, this same progesterone hormone is produced by the ovary to support the fetus. So, these medicines will not cause abortion, but it will support it further. These medicines are very safe whether you are pregnant or not. It can never cause abortion. Hope I have clarified your doubt, do write back. All the best. For more information consult an obstetrician and gynaecologist online -->
219	 Is there a solution for heavy snoring?	Hi. Sure, there is a solution but firstly you have to detect the cause with the help of investigations and tests. You have to be examined by an otorhinolaryngologist to detect the nature of the soft palate, uvula, nasal septum, nasal turbinates, tongue base and to exclude any nasal polyps. The second step is CT scan for your nose and sinuses. The final step is the airway examination during sleep in a sleep laboratory. For more information consult an ENT otolaryngologist online -->
220	 Why am I having itching and burning sensation in eyes while using contact lenses?	Hi. If you are having trouble with your contacts, you should discontinue wearing contacts and consult an ophthalmologist for an eye exam. Discomfort with contacts may be due to allergy to contacts or lens solution or it may be due to dry eyes (due to contacts) and in such cases contacts can make abrasions, ulcer on your cornea that would need a treatment. So, get your eyes evaluated from an eye specialist to diagnose the exact cause and get it treated appropriately. You are welcome for any queries.
221	 I have pain and clicking sound in knee. What does my MRI show?	Hi. Please note the images are sub-optimal for giving a professional report as we need to see the images in detail at the workstation computer (attachment removed to protect patient identity). However, my observations after viewing the images sent by you are the following: Your MRI knee is showing a mild knee joint effusion and is the likely cause of your pain an discomfort. The medial meniscus shows a suspicious area of signal abnormality in in the anterior horn root area and is not a serious concern. The rest of the meniscus is looking normal. The anterior cruciate ligament is intact, however there can changes from a mild strain of the ligament.
222	 How can wisdom tooth pain be treated?	Hi. Do not worry. I checked your attachment (attachment removed to protect patient identity). Pain is due to impacted wisdom tooth which has also damaged adjacent tooth leading to caries. You may require disimpaction and restoration of adjacent tooth by root canal. Right now you take the following medicines: Ofloxacin 200 mg with Ornidazole 500 mg BD for five days. Tablet Acelofenac 100 mg with Paracetamol 325 mg, Serratidopeptidase 15 mg BD for five days after taking food. Tablet Pantoprazole 40 mg OD for five days. Mouthwash Hexidine three times daily for 30 seconds by rinsing oral cavity. You are also advised to maintain good oral hygiene.
223	 How to cure mouth ulcer?	Hi. Revert back with the answers to the above questions to a dentist online -->
224	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
225	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
226	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
227	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
228	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
229	 Why am I having thick white and greenish vaginal discharge with itching?	Hi, Welcome to iclinq.com. If its appearance is like curd, then probably it is yeast and you can take a single dose of tablet Canestein 150 mg to treat it.
230	 Can falling from a moving escalator cause inner ear disorder?	Hi. I understand your concern, you are probably suffering from imbalance. It is a type of vertigo. Such problems arises when vestibule of inner ear is not working properly. Balancing of moving body is managed by vestibule of inner ear. Sometimes inner ear gets diseased by viral infection, bacterial infection, metabolic dysfunction like hydrops. Diagnostic tools are good clinical examination by ENT doctor. Investigations like electronystagmography (ENG). My suggestion is to please consult your ENT doctor, certainly he or she will do same as above I said and will reach to correct diagnosis to manage your problem.
231	 How can I manage dry eye?	Hello. Unfortunately, dry eye is a chronic condition and does not go away. First of all, you should use the eye drop in both eyes and not only on the one you feel the dryness in, second of all, the minimal quantity of drops that might help you during the day is four times but there are no limits, you can even use it every hour. The other option is to have punctum plugs inserted and that might reduce the quantity of drops you have to use or to use the only available medication for this condition which is called Restasis. For a more detailed advice please provide me with more information such as schirmer test results atleast.
232	 Why am I having a yellow thick foul smelling vaginal discharge?	Hello. You are suffering from bacterial vaginosis which is a bacterial infection. This can be confirmed with a high vaginal swab culture and shall require a course of antibiotics for a week with avoidance of intercourse during treatment. Try using alkaline vaginal washes to clean yourself and avoid chemical soaps. Meet your gynecologist for a local examination and prescription.
233	 Am I having recurrent BV because of unprotected sex?	Hi. BV (bacterial vaginosis) is not a sexually transmitted disease. It is just an abnormal change in your normal bacterial flora. I would recommend using tablet Metronidazole 2000 mg once or you can use Clindamycin 5 % vaginal creams once for five days. That is available over the counter. Also, avoid using unnecessary antibiotics. Get your diabetes checked if you are gaining weight. Sometimes, use of probiotics is also helpful in some people. For more information consult an internal medicine physician online -->
234	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
235	 Is there any way to treat BV while being 34 weeks pregnant?	Hi. BV (bacterial vaginosis) is not a sexually transmitted infection. You must be having associated fungal infections causing itching. Take tablet Metronidazole 400 mg three times daily for one week. Take capsule Clotrimazole vaginal pessary at bedtime for a week. Drink plenty of water.Keep your perineal area dry. For more information consult an obstetrician and gynaecologist online -->
236	 What is the skin rash that itch sometimes in a child?	Hi. I have seen your query and examined your given pictures (attachment removed to protect patient identity). It seems your son has a hand, foot, and mouth disease, and does not look like impetigo. HFMD (hand, foot, and mouth disease) is a viral infection caused by the coxsackie virus. It is a self-limiting disease and takes around 5 to 7 days to subside. Symptomatic treatment can be taken like topical Lactocalamine lotion local application twice daily and Orasep (Chlorhexidine gluconate) mouth gel local application twice for five days after consulting your gp or near by dermatologist,
237	 Is it possible to treat hydrosalpinx by natural methods?	Hello. I think you are talking about hydrosalpinx. It is a temporary or permanent blockage of single or both fallopian tube. It is one of the major cause of infertility. It can be managed naturally through ayurvedic medicines and some specific Panchakarma procedure, Uttar Basti of medicated oil like Yavakshara oil. It helps to resolve blockage and open the fallopian tube. There are several causes to such conditions. Some of them are pelvic inflammatory disease, gonorrhoeal infection, etc. Ultrasonography, and hysterosalpingogram. PCOD (polycystic ovary disease), and hypothyroidism. Uttar basti with medicated oil like Yavakshara oil is the safe and successful treatment of hydrosalpinx. Avoid spicy and fried junk foods. Avoid cold drinks soft drinks ice-cream etc. Do regular kapalbhati Mandukasana and Ardha matsyendrasana as well as pranayana like anuloma viloma nadi shodhan and bhramari.
238	 I have diarrhea following constipation for a long time. Why?	Hi. Your history fits into the acid peptic disease. I do not find any sign of cancer over here (attachment removed to protect patient identity). I would recommend you the following. A combination of Pantoprazole and Domperidone once daily for a few days. A good probiotic, to take a soft and bland diet, to walk after all meals. I would also recommend you to get your thyroid profile checked.
239	 I have acne. Can I use Pantoprazole with Cutein?	Hi. Cutein tablet contains Iron as one of the ingredients, along with some other vitamins. The iron tablets can give increased acid in the stomach and indigestion. But, if you take both Cutein and Pantoprazole tablets together, the iron will not get absorbed. Therefore, first take Cutein tablet on empty stomach in the morning, and then 30 minutes later take Pantoprazole.
240	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
241	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
242	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
243	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
244	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
245	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
246	 Can a rough foreplay be a cause for a bump inside my vagina?	Hello. Yes, probably it is due to injury caused by fingering. And if it is not painful and not causing any discomfort, then you only have to wait until it resolves spontaneously. And the other option is that after a few days say three to four days you can get yourself examined by your local doctor to make sure that there is nothing more than that and this swelling has been resolved entirely. I hope it has helped you should you require any further queries. Please do not hesitate to contact me.
247	 One liter water bottle has fallen on my 5. 5 months old baby. What should I do?	Hello. Please apply cold water bag to the reddish area. Also, you will need to start the child on drops crocin based on the current weight of the child (is it 2.72 kg? 2.72 kg is too less for a 5.5 months old child). Dose for 2.72 kg is 0.3 ml of drops crocin (100 mg/ml). Also please document the fever with a thermometer. If it is above 100 degrees Fahrenheit, it is advisable to get the child evaluated physically by a pediatrician. Also, if you feel the child is lethargic, has a convulsion or his refusal to feed, it is best to go to the nearest hospital.
248	 I am having some signs on my hand particularly in summer. Why?	Hello. What are the symptoms in it? How long has it been there?
249	 A white patch has been formed at the tip of the penis associated with skin tightness. Why?	Hello. Let me tell you one thing, you need not worry about your condition, as it is widespread to have phimosis, which is the case with you. The foreskin is tight in your case, and hence, retraction is painful. The white patch you are referring to is nothing but color due to fibrosis. This has nothing to do with masturbation. You can undergo a simple procedure called circumcision, which will get rid of the foreskin and your problem with it, once for all. It is a minor procedure. Please address the issue of hygiene better. Though there will not be any serious health issues with cleanliness, absence of hygiene can result in fungal infection, which can be avoided by addressing the hygiene properly. Let me reassure you again, and you need not worry much, go for circumcision.
250	 Please advice whether I can continue my same dosage of thyroid tablets after the variation of TSH levels.	Hello. The goal of treatment in hypothyroidism is to normalize TSH (thyroid stimulating hormone) levels. The dose of thyroxine needs to be adjusted until this happens. The dose is weight related to some extent. The approximate dose of thyroid hormone is equal to weight in kg x 1.6. But ultimately, it is the TSH that guides the dosage. Here is what you need to do, 1. Increase the dose of Thyroxine to 100 mcg once a day. 2. Take the tablet on an empty stomach. Do not consume anything except water for one hour after taking Thyroxine. (No tea, coffee, milk, iron or calcium tablets, etc.). 3. Whenever the dose of Thyroxine is adjusted, recheck TSH after six to eight weeks. 4. No diet restrictions for hypothyroidism. Contrary to popular belief, it is fine to eat cabbage, cauliflower, broccoli, soybeans, etc. I hope this helps.
251	 What could be the painless lump under my skin on my arm?	Hello. I understand your concern, but there are no attached photographs in your message. Kindly send a picture of the affected area to help you better. I need to see the affected area to assess the condition and to suggest the appropriate diagnosis and treatment. Please send the picture of the affected area.
252	 Please guide how to use snehapana at home.	Hello. Ideally, you should have done it under the supervision of a nearby Ayurveda physician. Because this procedure also requires a close watch and some dietary restriction. Even if you are taking some medicine without guidance, it is not advisable to do it on your own. It can also cause some issues like nausea, vomiting, etc. in some cases, and it might be hard for you to manage it at home. The amount of ghee should be taken on various factors, and it requires a complete history and clinical examination. Also, the amount of ghee needs to be increased day by day for some days. After intake of ghee symptoms need to be watched for proper digestion. If the physician does not find appropriate digestive symptoms, then he can manage accordingly. After proper digestion of ghee, a particular dietary regimen and lifestyle have to be managed. So you should do it under supervision. I hope you understand my point that rather than doing it at home, it is better to do under the supervision of a nearby Ayurveda physician.
253	 Can I use Benzodiazepine for a longer period?	Hello. If it is the requirement of Benzodiazepines than you need to take for long periods. There is nothing wrong to take medication for a long time if you are stable on it. Theoretically and ideally, Benzodiazepine should be tapered off within four weeks, but in clinical practice, we have to give it for an extended period, depending upon the patient diseases. If you have no anxiety or sleep disturbance, then you can taper off your way. You can make it half of your tablet for two weeks then take half tablet alternate day for two weeks and then you can stop it.
254	 What could be the cause for heaviness in the head?	Hello. Your husband's lumbar spine CT (computed tomography)scan is indicative of a disk herniation, which is responsible for the pain in lower back and tingling sensations radiating in the right leg. It is not related to headaches. Considering these CT findings, I would recommend having some rest, avoiding prolonged standing up or sitting position and weightlifting. Physiotherapy and painkillers (Acetaminophen and Ibuprofen) coupled with a muscle relaxant like Flexeril. If the pain persists consulting with a spine surgeon. Regarding headaches, I would like to review his cervical spine CT scan report. It could be related to a wrong posture or a tension-type headache ( related to psychological or physical stress). For more information consult a neurologist online -->
255	 What are the abortion options during 6 weeks of pregnancy?	Hello. For someone who is 6 weeks or 42 days pregnant as per the ultrasound and the pregnancy has been localized intrauterine, there are actually two options: In medical abortion the patient is given a set of medicines namely Mifepristone and Misoprostol in a set protocol. The aim is to disallow further growth of pregnancy by stopping the cytotrophoblastic invasion into the endometrium (through Mifepristone) and then initiating uterine contractions and placental separation (through Misoprostol). The procedure for drug protocol lasts till max 2000 mcg of Misoprostol has been given in a set protocol till the pregnancy has been aborted. The success rates are 93%-96%, but the disadvantage is that it may lead to prolong bleeding for up to two weeks before all the products of conception can be actually aborted. Sometimes, the bleeding just continues for long and one may have to resort to surgical curettage to remove the remaining decidua in utero. Surgical evacuation is a day care procedure where a suction canal is introduced inside the uterus through the cervix, with patient under anesthesia or a paracervical block and the products of conception are suctioned out completely. If the procedure is ultrasound guided, then the success rates are 100 percent and major advantage is, one can leave for work after 6 hours (till the anesthesia effect passes of if general anesthesia or after 2 hours in case of post paracervical block). The remote chances of Asherman syndrome or intrauterine adhesions have been documented in 1% of women who underwent surgical evacuation where adhesions were formed inside the uterus leading to secondary infertility. But, a controlled, ultrasound guided dilation and curettage under an experienced hand is safe. I would suggest her to opt for medical abortion if the pregnancy is unplanned or accidental as this would be a natural way of aborting and moreover pregnancy being less than 7 weeks, can be easily aborted. A repeat ultrasound pelvis to check for completion of abortion shall be necessary after the procedure is undertaken. The mild bleeding and discharge may or may not continue for long, it depends from woman to woman. If this fails, then of course you have a surgical option to look at. Pregnancy should be completely avoided for the next four months of post procedure as that is the time required by uterus and pelvic organs to return back to their pre-pregnant state.
256	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
257	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
258	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
259	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
260	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
261	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
262	 Is the sharp pain that I experienced on my left armpit, a sign of heart attack?	Hi. I understand your concern as your grandparents passed of a heart attack, the fear you have is genuine. But, just pain in your chest is not an indication of a heart attack. Since you gave a history of carbonated food and tablet Amoxicillin along with thyroid medication, these both can cause an acid reflux and that can cause heartburn and lead to such non-specific pain. However, if the pain was associated with sweating and stabbing character or constricting type with radiation to the left arm, then it is always better to get an ECG done to see if it is related to your heart. Heartburn. ECG. For further information consult an internal medicine physician online.--->
263	 What is the small fleshy growth in my anus?	Hi. I have seen your attached picture (attachment removed to protect patient identity). It shows old hemorrhoids called as skin tags. This picture, along with the pain that you are describing is suggestive of anal fissure. This is a tear in the wall of the anus, at the base of these skin tags. Here is what you need to do: To heal the fissure, do sitz bath. Take lukewarm water in a medium sized tub, put two teaspoons of ordinary salt per liter of water. Total 10 g salt per liter of water. Now sit in this water and try to push out on the anus. Try to make the water clean and sooth your anal region. Sit for around 15 minutes, 3 to 4 times every day for a month or so. Try to do this at least twice per day if you are working professional. It will decrease pain, itching, and help to heal the fissure. Do these for around 6 to 8 weeks. For pain relief during passing stools as well as healing of the fissure, I suggest the following or equivalent generic combinations for at least three weeks, after that only sitz bath should be enough: For constipation, I suggest you try the following: Curing constipation treats these and also prevents these from troubling again. Some people need surgical treatment for bleeding hemorrhoids, but only if dietary measures are not effective in controlling the problem. I hope that helps. Kindly leave feedback. Follow-up if you need any more information. For more information consult a surgical gastroenterologist online -->
264	 Can long-time earphone usage cause pain in ears?	Hi. My understanding and inference is that the pain is not related to the earphones or sound level. This is because of loud noise which usually produces classical symptoms like giddiness, ringing sound in ear, hearing loss, intolerance to loud sounds and some pain in ear. Your symptoms are not very classical to diagnose. Please answer below questions for clear diagnosis. With the details available as of now, I infer that the pain is muscular most probably. For the same, I suggest you the following measures. To understand any occurrence of sound trauma to your ears we must do a pure tone audiometry. This is the definitive investigation to understand any damage to inner ear due to sound. I feel a strong pain killer like Aspirin is not required for these complaints. However, there is no reason to worry as of now. Muscle ache. Bad posture. Rigorous exercise. Pure tone audiometry (this investigation is usually present in speech centers and otolaryngology clinics). For further information consult an ENT otolaryngologist online.--->
265	 What is the reason for period like cramps 12 days before period?	Hi. I do understand your concern and due respect for that. For further information consult an obstetrician and gynaecologist online -->
266	 What are the possible causes for heart trembling?	Hi. I read your query and understand your concerns. For further information consult your neurologist online -->
267	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
268	 I am getting pain in penis and tingling sensation in testicles. Please help.	Hi. Your symptoms do point towards chronic prostatitis. With negative culture and positive pus cells, it is likely that you are suffering from CPPS IIIA, which is non-bacterial inflammatory chronic prostatitis. Now, this is a difficult condition to manage and requires long-term therapy. I would suggest that you follow up with a urologist on a long term basis. Therapy takes some time and different medications work for different patients. IC (interstitial cystitis- painful bladder) is also a possible condition, but CPPS is more common in males than IC. You do not meet all criteria for IC as per the classic definitions. So, I would keep CPPS as the first differential. I am mentioning some tests that you may want to get done to clarify the situation in a better way. Recurrent infections. Urine anti-proliferative factor, EPS Culture (expressed prostatic secretions) after prostatic massage, uroflowmetry with post-void residual urine assessment and cystoscopy. 1. CPPS IIIA. 2. BPS (bladder pain syndrome) / IC. I suggest combination of Amitriptyline, alpha blockers, NSAIDS (nonsteroidal anti-inflammatory drugs) and Gabapentin. Dietary modifications will be necessary. Consult your specialist doctor, discuss with him or her and take the medicine with consent. Stay away from spices, coffee and anything that you feel trigger the symptoms or aggravate them. Revert back with the reports to a urologist online.--->
269	 What is the home remedy for burning sensation of the anus?	Hi. The following are the causes for burning sensation in the anus. Here are some home remedies for curing the burning sensation of the anus.
